date,value
2024-01-01,3568.0
2024-01-02,3714.0
2024-01-03,3738.0
2024-01-04,3647.0
2024-01-05,3661.0
2024-01-06,2286.0
2024-01-07,2254.0
2024-01-08,3561.0
2024-01-09,3558.0
2024-01-10,3738.0
2024-01-11,3655.0
2024-01-12,3678.0
2024-01-13,2314.0
2024-01-14,2280.0
2024-01-15,3576.0
2024-01-16,3614.0
2024-01-17,3750.0
2024-01-18,3704.0
2024-01-19,3667.0
2024-01-20,2392.0
2024-01-21,2292.0
2024-01-22,3837.0
2024-01-23,3623.0
2024-01-24,3742.0
2024-01-25,3936.0
2024-01-26,3520.0
2024-01-27,2329.0
2024-01-28,2397.0
2024-01-29,3778.0
2024-01-30,3620.0
2024-01-31,3759.0
2024-02-01,3783.0
2024-02-02,3807.0
2024-02-03,2283.0
2024-02-04,2562.0
2024-02-05,3954.0
2024-02-06,3855.0
2024-02-07,3757.0
2024-02-08,3773.0
2024-02-09,3596.0
2024-02-10,2583.0
2024-02-11,2681.0
2024-02-12,3911.0
2024-02-13,3590.0
2024-02-14,3826.0
2024-02-15,3861.0
2024-02-16,3832.0
2024-02-17,2675.0
2024-02-18,2431.0
2024-02-19,3829.0
2024-02-20,3954.0
2024-02-21,3995.0
2024-02-22,3927.0
2024-02-23,4013.0
2024-02-24,2671.0
2024-02-25,2535.0
2024-02-26,4052.0
2024-02-27,3896.0
2024-02-28,3801.0
2024-02-29,3993.0
2024-03-01,4123.0
2024-03-02,2752.0
2024-03-03,2762.0
2024-03-04,3995.0
2024-03-05,3762.0
2024-03-06,4051.0
2024-03-07,4010.0
2024-03-08,3764.0
2024-03-09,2649.0
2024-03-10,2635.0
2024-03-11,4116.0
2024-03-12,4037.0
2024-03-13,4059.0
2024-03-14,4060.0
2024-03-15,3924.0
2024-03-16,2573.0
2024-03-17,2761.0
2024-03-18,4036.0
2024-03-19,4067.0
2024-03-20,4059.0
2024-03-21,4035.0
2024-03-22,4136.0
2024-03-23,2809.0
2024-03-24,2742.0
2024-03-25,3933.0
2024-03-26,3877.0
2024-03-27,3986.0
2024-03-28,4108.0
2024-03-29,4210.0
2024-03-30,2796.0
2024-03-31,2901.0
2024-04-01,4250.0
2024-04-02,4366.0
2024-04-03,4184.0
2024-04-04,4298.0
2024-04-05,4191.0
2024-04-06,2765.0
2024-04-07,2678.0
2024-04-08,4215.0
2024-04-09,4274.0
2024-04-10,4422.0
2024-04-11,4146.0
2024-04-12,4256.0
2024-04-13,2908.0
2024-04-14,2711.0
2024-04-15,4264.0
2024-04-16,4207.0
2024-04-17,4127.0
2024-04-18,4400.0
2024-04-19,4198.0
2024-04-20,3002.0
2024-04-21,2942.0
2024-04-22,4208.0
2024-04-23,4263.0
2024-04-24,4355.0
2024-04-25,4228.0
2024-04-26,4147.0
2024-04-27,3164.0
2024-04-28,3048.0
2024-04-29,4228.0
2024-04-30,4312.0
2024-05-01,4185.0
2024-05-02,4326.0
2024-05-03,4415.0
2024-05-04,2870.0
2024-05-05,3128.0
2024-05-06,4429.0
2024-05-07,4338.0
2024-05-08,4377.0
2024-05-09,4344.0
2024-05-10,4340.0
2024-05-11,2918.0
2024-05-12,3239.0
2024-05-13,4338.0
2024-05-14,4416.0
2024-05-15,4389.0
2024-05-16,4457.0
2024-05-17,4473.0
2024-05-18,3036.0
2024-05-19,3167.0
2024-05-20,4416.0
2024-05-21,4366.0
2024-05-22,4569.0
2024-05-23,4564.0
2024-05-24,4383.0
2024-05-25,3143.0
2024-05-26,3085.0
2024-05-27,4380.0
2024-05-28,4400.0
2024-05-29,4544.0
2024-05-30,4373.0
2024-05-31,4374.0
2024-06-01,3238.0
2024-06-02,3153.0
2024-06-03,4635.0
2024-06-04,4444.0
2024-06-05,4492.0
2024-06-06,4472.0
2024-06-07,4340.0
2024-06-08,3285.0
2024-06-09,3323.0
2024-06-10,4652.0
2024-06-11,4555.0
2024-06-12,4638.0
2024-06-13,4570.0
2024-06-14,4582.0
2024-06-15,3224.0
2024-06-16,3288.0
2024-06-17,4523.0
2024-06-18,4668.0
2024-06-19,4559.0
2024-06-20,4532.0
2024-06-21,4622.0
2024-06-22,3333.0
2024-06-23,3192.0
2024-06-24,4554.0
2024-06-25,4603.0
2024-06-26,4696.0
2024-06-27,4715.0
2024-06-28,4744.0
