date,value
2024-01-01,5858.96
2024-01-02,6350.94
2024-01-03,7750.37
2024-01-04,9536.74
2024-01-05,9715.87
2024-01-06,8885.26
2024-01-07,7586.07
2024-01-08,6629.41
2024-01-09,6855.02
2024-01-10,7950.23
2024-01-11,9263.07
2024-01-12,9601.69
2024-01-13,8804.64
2024-01-14,7357.03
2024-01-15,6072.83
2024-01-16,6375.63
2024-01-17,8299.0
2024-01-18,8963.21
2024-01-19,9908.9
2024-01-20,9158.03
2024-01-21,7114.13
2024-01-22,6107.6
2024-01-23,6590.48
2024-01-24,8502.81
2024-01-25,9649.86
2024-01-26,9400.51
2024-01-27,8944.82
2024-01-28,7897.87
2024-01-29,6925.43
2024-01-30,7161.22
2024-01-31,8276.68
2024-02-01,9133.57
2024-02-02,10198.22
2024-02-03,9115.4
2024-02-04,7653.89
2024-02-05,7204.94
2024-02-06,7088.99
2024-02-07,8540.72
2024-02-08,10075.08
2024-02-09,10133.07
2024-02-10,9028.47
2024-02-11,7452.93
2024-02-12,7017.57
2024-02-13,7285.3
2024-02-14,8356.66
2024-02-15,10350.74
2024-02-16,10371.39
2024-02-17,8875.91
2024-02-18,8007.07
2024-02-19,6784.31
2024-02-20,6727.62
2024-02-21,8792.42
2024-02-22,9910.61
2024-02-23,10253.55
2024-02-24,9635.45
2024-02-25,7111.64
2024-02-26,6470.07
2024-02-27,7128.12
2024-02-28,8783.21
2024-02-29,9882.51
2024-03-01,10126.02
2024-03-02,9144.64
2024-03-03,7921.96
2024-03-04,7237.39
2024-03-05,6853.2
2024-03-06,8051.87
2024-03-07,10095.22
2024-03-08,10425.16
2024-03-09,9278.85
2024-03-10,8261.12
2024-03-11,7366.75
2024-03-12,7247.24
2024-03-13,8743.44
2024-03-14,10482.81
2024-03-15,10492.65
2024-03-16,9189.89
2024-03-17,8107.36
2024-03-18,6852.65
2024-03-19,7642.55
2024-03-20,8771.19
2024-03-21,10301.09
2024-03-22,10908.66
2024-03-23,9721.3
2024-03-24,7993.1
2024-03-25,6900.87
2024-03-26,8215.08
2024-03-27,9419.31
2024-03-28,9925.02
2024-03-29,10442.52
2024-03-30,10053.39
2024-03-31,8093.08
2024-04-01,7342.44
2024-04-02,7981.61
2024-04-03,9161.08
2024-04-04,10490.07
2024-04-05,10729.11
2024-04-06,9902.74
2024-04-07,8518.35
2024-04-08,8028.3
2024-04-09,8153.45
2024-04-10,9130.19
2024-04-11,10940.09
2024-04-12,11019.87
2024-04-13,9498.51
2024-04-14,8429.68
2024-04-15,7853.27
2024-04-16,7655.98
2024-04-17,9611.6
2024-04-18,10595.96
2024-04-19,11072.14
2024-04-20,9684.09
2024-04-21,9275.57
2024-04-22,7747.83
2024-04-23,8301.65
2024-04-24,9209.55
2024-04-25,10275.11
2024-04-26,11570.93
2024-04-27,9935.84
2024-04-28,9213.23
2024-04-29,7613.24
2024-04-30,8601.29
2024-05-01,9196.84
2024-05-02,10253.9
2024-05-03,11475.2
2024-05-04,10245.17
2024-05-05,8718.06
2024-05-06,8124.18
2024-05-07,7807.95
2024-05-08,9082.88
2024-05-09,10546.34
2024-05-10,10726.11
2024-05-11,9719.97
2024-05-12,8353.18
2024-05-13,7500.23
2024-05-14,8040.08
2024-05-15,9194.97
2024-05-16,10986.91
2024-05-17,11654.81
2024-05-18,10348.88
2024-05-19,9019.88
2024-05-20,7590.06
2024-05-21,8367.7
2024-05-22,9845.45
2024-05-23,10871.93
2024-05-24,10917.54
2024-05-25,10421.9
2024-05-26,8929.81
2024-05-27,8464.82
2024-05-28,8178.8
2024-05-29,10308.13
2024-05-30,10318.03
2024-05-31,11403.45
2024-06-01,10375.11
2024-06-02,8860.88
2024-06-03,7845.66
2024-06-04,8371.35
2024-06-05,10375.77
2024-06-06,11172.3
2024-06-07,11996.68
2024-06-08,10588.71
2024-06-09,9109.11
2024-06-10,7286.9
2024-06-11,8498.8
2024-06-12,10097.41
2024-06-13,10913.24
2024-06-14,11454.76
2024-06-15,10408.36
2024-06-16,9886.31
2024-06-17,7851.91
2024-06-18,8300.97
2024-06-19,9031.18
2024-06-20,10842.33
2024-06-21,11818.32
2024-06-22,10342.79
2024-06-23,8279.99
2024-06-24,8170.85
2024-06-25,8665.66
2024-06-26,10141.44
2024-06-27,11595.51
2024-06-28,11617.69
