date,value
2024-01-01,1.93
2024-01-02,1.94
2024-01-03,1.99
2024-01-04,2.22
2024-01-05,1.94
2024-01-06,1.95
2024-01-07,2.04
2024-01-08,2.31
2024-01-09,1.96
2024-01-10,2.0
2024-01-11,2.13
2024-01-12,2.12
2024-01-13,2.16
2024-01-14,2.01
2024-01-15,1.96
2024-01-16,1.9
2024-01-17,2.15
2024-01-18,2.07
2024-01-19,2.16
2024-01-20,2.11
2024-01-21,2.31
2024-01-22,2.19
2024-01-23,2.12
2024-01-24,2.11
2024-01-25,2.02
2024-01-26,2.04
2024-01-27,2.05
2024-01-28,2.33
2024-01-29,2.07
2024-01-30,2.01
2024-01-31,2.14
2024-02-01,2.21
2024-02-02,1.93
2024-02-03,1.75
2024-02-04,2.06
2024-02-05,2.25
2024-02-06,2.0
2024-02-07,2.19
2024-02-08,2.15
2024-02-09,2.2
2024-02-10,2.0
2024-02-11,2.05
2024-02-12,2.34
2024-02-13,2.2
2024-02-14,1.72
2024-02-15,2.29
2024-02-16,2.4
2024-02-17,2.06
2024-02-18,2.22
2024-02-19,1.97
2024-02-20,2.11
2024-02-21,2.11
2024-02-22,2.01
2024-02-23,2.24
2024-02-24,2.18
2024-02-25,2.2
2024-02-26,2.24
2024-02-27,1.77
2024-02-28,2.15
2024-02-29,1.86
2024-03-01,2.04
2024-03-02,2.09
2024-03-03,1.94
2024-03-04,2.12
2024-03-05,1.9
2024-03-06,2.03
2024-03-07,2.23
2024-03-08,1.95
2024-03-09,2.12
2024-03-10,1.87
2024-03-11,2.14
2024-03-12,1.84
2024-03-13,1.95
2024-03-14,1.84
2024-03-15,2.13
2024-03-16,1.95
2024-03-17,2.02
2024-03-18,2.14
2024-03-19,2.23
2024-03-20,2.18
2024-03-21,2.06
2024-03-22,2.32
2024-03-23,2.23
2024-03-24,2.08
2024-03-25,2.38
2024-03-26,1.96
2024-03-27,2.08
2024-03-28,2.29
2024-03-29,2.21
2024-03-30,2.17
2024-03-31,2.05
2024-04-01,1.96
2024-04-02,2.05
2024-04-03,2.18
2024-04-04,2.03
2024-04-05,1.89
2024-04-06,2.05
2024-04-07,2.43
2024-04-08,2.25
2024-04-09,2.43
2024-04-10,2.12
2024-04-11,2.09
2024-04-12,2.04
2024-04-13,2.39
2024-04-14,2.0
2024-04-15,2.11
2024-04-16,2.22
2024-04-17,1.91
2024-04-18,2.04
2024-04-19,1.99
2024-04-20,2.09
2024-04-21,2.2
2024-04-22,1.99
2024-04-23,2.18
2024-04-24,2.01
2024-04-25,2.1
2024-04-26,2.08
2024-04-27,1.99
2024-04-28,1.88
2024-04-29,2.07
2024-04-30,2.07
2024-05-01,2.43
2024-05-02,2.31
2024-05-03,2.31
2024-05-04,2.04
2024-05-05,2.33
2024-05-06,2.28
2024-05-07,2.16
2024-05-08,2.35
2024-05-09,2.18
2024-05-10,2.2
2024-05-11,2.12
2024-05-12,2.0
2024-05-13,2.31
2024-05-14,1.93
2024-05-15,2.17
2024-05-16,1.93
2024-05-17,2.13
2024-05-18,1.97
2024-05-19,2.25
2024-05-20,2.03
2024-05-21,2.05
2024-05-22,1.99
2024-05-23,2.01
2024-05-24,2.0
2024-05-25,2.31
2024-05-26,2.14
2024-05-27,1.97
2024-05-28,2.31
2024-05-29,2.15
2024-05-30,2.23
2024-05-31,2.26
2024-06-01,1.95
2024-06-02,2.01
2024-06-03,2.13
2024-06-04,2.37
2024-06-05,2.27
2024-06-06,1.86
2024-06-07,1.87
2024-06-08,2.33
2024-06-09,2.13
2024-06-10,2.27
2024-06-11,2.29
2024-06-12,1.83
2024-06-13,2.24
2024-06-14,2.1
2024-06-15,2.1
2024-06-16,2.42
2024-06-17,2.11
2024-06-18,2.02
2024-06-19,1.9
2024-06-20,2.38
2024-06-21,2.22
2024-06-22,1.94
2024-06-23,2.14
2024-06-24,2.17
2024-06-25,1.83
2024-06-26,2.19
2024-06-27,2.0
2024-06-28,2.28
