date,value
2024-01-01,204.3
2024-01-02,216.3
2024-01-03,245.2
2024-01-04,233.7
2024-01-05,244.8
2024-01-06,208.4
2024-01-07,200.8
2024-01-08,207.7
2024-01-09,223.2
2024-01-10,242.3
2024-01-11,235.1
2024-01-12,231.0
2024-01-13,206.6
2024-01-14,197.6
2024-01-15,181.0
2024-01-16,209.8
2024-01-17,239.6
2024-01-18,249.0
2024-01-19,231.9
2024-01-20,203.2
2024-01-21,193.9
2024-01-22,200.2
2024-01-23,198.8
2024-01-24,236.7
2024-01-25,241.9
2024-01-26,229.2
2024-01-27,215.6
2024-01-28,190.6
2024-01-29,208.2
2024-01-30,226.9
2024-01-31,247.6
2024-02-01,251.1
2024-02-02,244.0
2024-02-03,230.1
2024-02-04,199.1
2024-02-05,199.2
2024-02-06,227.9
2024-02-07,261.8
2024-02-08,250.4
2024-02-09,234.9
2024-02-10,210.0
2024-02-11,193.2
2024-02-12,198.0
2024-02-13,249.4
2024-02-14,240.5
2024-02-15,241.6
2024-02-16,235.7
2024-02-17,222.1
2024-02-18,194.1
2024-02-19,201.9
2024-02-20,226.9
2024-02-21,253.8
2024-02-22,242.2
2024-02-23,240.4
2024-02-24,231.7
2024-02-25,196.1
2024-02-26,199.4
2024-02-27,231.2
2024-02-28,254.0
2024-02-29,250.2
2024-03-01,239.9
2024-03-02,222.8
2024-03-03,211.2
2024-03-04,210.3
2024-03-05,236.1
2024-03-06,234.9
2024-03-07,256.1
2024-03-08,234.1
2024-03-09,225.0
2024-03-10,207.0
2024-03-11,224.4
2024-03-12,232.6
2024-03-13,252.4
2024-03-14,258.7
2024-03-15,248.7
2024-03-16,218.8
2024-03-17,198.0
2024-03-18,205.1
2024-03-19,236.4
2024-03-20,265.7
2024-03-21,250.4
2024-03-22,249.8
2024-03-23,210.9
2024-03-24,214.5
2024-03-25,210.1
2024-03-26,233.2
2024-03-27,263.8
2024-03-28,275.1
2024-03-29,242.0
2024-03-30,214.9
2024-03-31,202.4
2024-04-01,217.6
2024-04-02,233.1
2024-04-03,250.0
2024-04-04,251.4
2024-04-05,244.3
2024-04-06,218.9
2024-04-07,219.5
2024-04-08,213.0
2024-04-09,247.2
2024-04-10,262.7
2024-04-11,266.7
2024-04-12,249.1
2024-04-13,214.8
2024-04-14,218.6
2024-04-15,227.0
2024-04-16,234.7
2024-04-17,245.1
2024-04-18,251.6
2024-04-19,239.4
2024-04-20,216.7
2024-04-21,226.1
2024-04-22,218.5
2024-04-23,245.9
2024-04-24,250.9
2024-04-25,269.3
2024-04-26,253.3
2024-04-27,235.0
2024-04-28,208.1
2024-04-29,216.9
2024-04-30,231.1
2024-05-01,245.3
2024-05-02,253.1
2024-05-03,248.1
2024-05-04,224.4
2024-05-05,206.9
2024-05-06,213.1
2024-05-07,246.3
2024-05-08,263.0
2024-05-09,270.4
2024-05-10,254.2
2024-05-11,229.2
2024-05-12,223.6
2024-05-13,220.6
2024-05-14,238.3
2024-05-15,261.5
2024-05-16,270.7
2024-05-17,244.6
2024-05-18,227.6
2024-05-19,207.9
2024-05-20,222.8
2024-05-21,239.3
2024-05-22,272.6
2024-05-23,257.5
2024-05-24,252.8
2024-05-25,244.7
2024-05-26,234.9
2024-05-27,203.7
2024-05-28,245.8
2024-05-29,249.5
2024-05-30,260.4
2024-05-31,258.2
2024-06-01,236.1
2024-06-02,237.2
2024-06-03,220.4
2024-06-04,248.3
2024-06-05,268.4
2024-06-06,275.7
2024-06-07,251.3
2024-06-08,242.1
2024-06-09,209.5
2024-06-10,219.6
2024-06-11,244.2
2024-06-12,270.6
2024-06-13,265.0
2024-06-14,258.8
2024-06-15,250.1
2024-06-16,211.3
2024-06-17,228.7
2024-06-18,246.9
2024-06-19,244.7
2024-06-20,259.3
2024-06-21,253.6
2024-06-22,234.2
2024-06-23,210.6
2024-06-24,224.0
2024-06-25,248.8
2024-06-26,268.5
2024-06-27,275.0
2024-06-28,258.7
