date,value
2024-01-01,109.0
2024-01-02,105.0
2024-01-03,94.0
2024-01-04,99.0
2024-01-05,98.0
2024-01-06,64.0
2024-01-07,45.0
2024-01-08,109.0
2024-01-09,101.0
2024-01-10,107.0
2024-01-11,100.0
2024-01-12,103.0
2024-01-13,54.0
2024-01-14,51.0
2024-01-15,105.0
2024-01-16,103.0
2024-01-17,108.0
2024-01-18,112.0
2024-01-19,100.0
2024-01-20,50.0
2024-01-21,53.0
2024-01-22,91.0
2024-01-23,103.0
2024-01-24,98.0
2024-01-25,96.0
2024-01-26,92.0
2024-01-27,50.0
2024-01-28,54.0
2024-01-29,98.0
2024-01-30,96.0
2024-01-31,98.0
2024-02-01,101.0
2024-02-02,95.0
2024-02-03,48.0
2024-02-04,45.0
2024-02-05,101.0
2024-02-06,112.0
2024-02-07,103.0
2024-02-08,114.0
2024-02-09,98.0
2024-02-10,45.0
2024-02-11,50.0
2024-02-12,103.0
2024-02-13,104.0
2024-02-14,105.0
2024-02-15,100.0
2024-02-16,108.0
2024-02-17,52.0
2024-02-18,57.0
2024-02-19,105.0
2024-02-20,104.0
2024-02-21,104.0
2024-02-22,98.0
2024-02-23,106.0
2024-02-24,56.0
2024-02-25,50.0
2024-02-26,118.0
2024-02-27,104.0
2024-02-28,95.0
2024-02-29,94.0
2024-03-01,98.0
2024-03-02,40.0
2024-03-03,56.0
2024-03-04,97.0
2024-03-05,106.0
2024-03-06,95.0
2024-03-07,105.0
2024-03-08,110.0
2024-03-09,57.0
2024-03-10,43.0
2024-03-11,104.0
2024-03-12,101.0
2024-03-13,111.0
2024-03-14,106.0
2024-03-15,115.0
2024-03-16,55.0
2024-03-17,48.0
2024-03-18,99.0
2024-03-19,111.0
2024-03-20,98.0
2024-03-21,105.0
2024-03-22,117.0
2024-03-23,54.0
2024-03-24,49.0
2024-03-25,110.0
2024-03-26,107.0
2024-03-27,97.0
2024-03-28,109.0
2024-03-29,106.0
2024-03-30,59.0
2024-03-31,51.0
2024-04-01,112.0
2024-04-02,102.0
2024-04-03,112.0
2024-04-04,98.0
2024-04-05,107.0
2024-04-06,57.0
2024-04-07,47.0
2024-04-08,94.0
2024-04-09,101.0
2024-04-10,100.0
2024-04-11,101.0
2024-04-12,104.0
2024-04-13,69.0
2024-04-14,57.0
2024-04-15,115.0
2024-04-16,108.0
2024-04-17,112.0
2024-04-18,109.0
2024-04-19,106.0
2024-04-20,59.0
2024-04-21,69.0
2024-04-22,96.0
2024-04-23,107.0
2024-04-24,110.0
2024-04-25,99.0
2024-04-26,109.0
2024-04-27,57.0
2024-04-28,64.0
2024-04-29,110.0
2024-04-30,106.0
2024-05-01,108.0
2024-05-02,93.0
2024-05-03,118.0
2024-05-04,58.0
2024-05-05,48.0
2024-05-06,101.0
2024-05-07,105.0
2024-05-08,103.0
2024-05-09,108.0
2024-05-10,102.0
2024-05-11,60.0
2024-05-12,54.0
2024-05-13,106.0
2024-05-14,98.0
2024-05-15,102.0
2024-05-16,106.0
2024-05-17,101.0
2024-05-18,55.0
2024-05-19,55.0
2024-05-20,97.0
2024-05-21,113.0
2024-05-22,98.0
2024-05-23,117.0
2024-05-24,113.0
2024-05-25,60.0
2024-05-26,57.0
2024-05-27,102.0
2024-05-28,117.0
2024-05-29,119.0
2024-05-30,103.0
2024-05-31,118.0
2024-06-01,64.0
2024-06-02,63.0
2024-06-03,111.0
2024-06-04,106.0
2024-06-05,107.0
2024-06-06,109.0
2024-06-07,116.0
2024-06-08,50.0
2024-06-09,59.0
2024-06-10,102.0
2024-06-11,109.0
2024-06-12,107.0
2024-06-13,104.0
2024-06-14,112.0
2024-06-15,62.0
2024-06-16,51.0
2024-06-17,104.0
2024-06-18,111.0
2024-06-19,105.0
2024-06-20,110.0
2024-06-21,92.0
2024-06-22,56.0
2024-06-23,57.0
2024-06-24,110.0
2024-06-25,122.0
2024-06-26,107.0
2024-06-27,108.0
2024-06-28,117.0
